Timestamp,Algorithm,Dimensions,Start Pos,Status,Steps,Total Steps,Time (s),Operations
22:34:14,Backtracking,5x5x1,[0|0|0],Stuck/Stopped,14,25,60.000,109290
22:34:14,Warnsdorff,5x5x1,[0|0|0],Success,25,25,0.010,25
22:34:14,Combined,5x5x1,[0|0|0],Success,25,25,0.010,25
22:35:27,Backtracking,6x6x1,[0|0|0],Stuck/Stopped,27,36,60.002,133905
22:35:27,Warnsdorff,6x6x1,[0|0|0],Success,36,36,0.024,36
22:35:27,Combined,6x6x1,[0|0|0],Success,36,36,0.024,36
22:36:37,Backtracking,7x7x1,[0|0|0],Stuck/Stopped,30,49,60.002,119940
22:36:37,Warnsdorff,7x7x1,[0|0|0],Success,49,49,0.030,49
22:36:37,Combined,7x7x1,[0|0|0],Success,49,49,0.030,49
22:37:54,Backtracking,8x8x1,[0|0|0],Stuck/Stopped,51,64,60.004,108330
22:37:54,Warnsdorff,8x8x1,[0|0|0],Success,64,64,0.056,64
22:37:54,Combined,8x8x1,[0|0|0],Success,64,64,0.056,64
22:39:17,Backtracking,5x5x1,[4|1|0],Stuck/Stopped,18,25,60.003,88080
22:39:17,Warnsdorff,5x5x1,[4|1|0],Stuck/Stopped,24,25,0.015,26
22:39:17,Combined,5x5x1,[4|1|0],Stuck/Stopped,18,25,60.003,88080
22:40:42,Backtracking,6x6x1,[2|3|0],Stuck/Stopped,24,36,60.002,112875
22:40:42,Warnsdorff,6x6x1,[2|3|0],Success,36,36,0.023,36
22:40:42,Combined,6x6x1,[2|3|0],Success,36,36,0.023,36
22:41:50,Backtracking,7x7x1,[5|1|0],Stuck/Stopped,36,49,60.001,109395
22:41:50,Warnsdorff,7x7x1,[5|1|0],Success,49,49,0.036,49
22:41:50,Combined,7x7x1,[5|1|0],Success,49,49,0.036,49
22:43:03,Backtracking,8x8x1,[2|0|0],Stuck/Stopped,48,64,60.001,106590
22:43:03,Warnsdorff,8x8x1,[2|0|0],Stuck/Stopped,60,64,0.080,62
22:43:03,Combined,8x8x1,[2|0|0],Success,64,64,0.106,94
22:45:26,Backtracking,5x5x3,[0|0|0],Stuck/Stopped,63,75,60.003,101895
22:45:26,Warnsdorff,5x5x3,[0|0|0],Success,75,75,0.053,75
22:45:26,Combined,5x5x3,[0|0|0],Success,75,75,0.053,75
22:47:01,Backtracking,6x6x3,[0|0|0],Stuck/Stopped,95,108,60.003,102135
22:47:01,Warnsdorff,6x6x3,[0|0|0],Success,108,108,0.156,108
22:47:01,Combined,6x6x3,[0|0|0],Success,108,108,0.156,108
22:49:15,Backtracking,7x7x3,[0|0|0],Stuck/Stopped,131,147,60.007,94800
22:49:15,Warnsdorff,7x7x3,[0|0|0],Success,147,147,0.131,147
22:49:15,Combined,7x7x3,[0|0|0],Success,147,147,0.132,147
22:51:58,Backtracking,8x8x3,[0|0|0],Stuck/Stopped,180,192,60.002,89880
22:51:58,Warnsdorff,8x8x3,[0|0|0],Success,192,192,0.189,192
22:51:58,Combined,8x8x3,[0|0|0],Success,192,192,0.189,192
22:53:16,Backtracking,5x5x3,[3|2|2],Stuck/Stopped,63,75,60.005,98370
22:53:16,Warnsdorff,5x5x3,[3|2|2],Stuck/Stopped,74,75,0.069,76
22:53:16,Combined,5x5x3,[3|2|2],Stuck/Stopped,69,75,60.005,98370
22:54:21,Backtracking,6x6x3,[0|2|1],Stuck/Stopped,89,108,60.003,101055
22:54:21,Warnsdorff,6x6x3,[0|2|1],Success,108,108,0.105,108
22:54:21,Combined,6x6x3,[0|2|1],Success,108,108,0.105,108
22:55:28,Backtracking,7x7x3,[4|0|2],Stuck/Stopped,135,147,60.001,98865
22:55:28,Warnsdorff,7x7x3,[4|0|2],Success,147,147,0.162,147
22:55:28,Combined,7x7x3,[4|0|2],Success,147,147,0.162,147
22:56:34,Backtracking,8x8x3,[4|5|2],Stuck/Stopped,179,192,60.005,88215
22:56:34,Warnsdorff,8x8x3,[4|5|2],Success,192,192,0.217,192
22:56:34,Combined,8x8x3,[4|5|2],Success,192,192,0.217,192
